id,level,depth_ud,depth_sud,add_ud,add_sud,clos_cent_ud,clos_cent_sud,outdeg_cent_ud,outdeg_cent_sud
A1_0001,A1,2.0714285714285716,2.7857142857142856,2.240362811791383,2.0302721088435374,0.7179811194096909,0.599504569947398,0.6558219054817694,0.5437055033653674
A1_0002,A1,1.7083333333333333,2.4583333333333335,2.0171130952380953,1.926934523809524,0.7809108830983831,0.6499524787898113,0.7337814743953137,0.6014521329365079
A1_0003,A1,2.142857142857143,3.2142857142857144,2.256525943710818,2.2413094025488984,0.707667107815795,0.5763494414165286,0.6457593695857398,0.5332921698486635
A1_0004,A1,1.9411764705882353,2.411764705882353,2.149859943977591,2.0297619047619047,0.7187307996236568,0.6385429615573958,0.6510291616646658,0.5754082466319861
A1_0005,A1,2.6875,3.75,2.4161220723720724,2.1599658154345653,0.6068311901011411,0.5044840503160192,0.5485375644303631,0.46690408753706136
A1_0006,A1,1.7222222222222223,2.1666666666666665,1.8736531986531988,1.7776936026936028,0.8101228822513514,0.7413585730055111,0.7751871301397817,0.7020193092541578
A1_0007,A1,2.0588235294117645,2.6470588235294117,2.186986461251167,2.1460550887021475,0.7293095519523956,0.6358346724898757,0.6623797273539045,0.5801940428949357
A1_0008,A1,2.4375,3.0,2.25890376984127,2.1140873015873014,0.682864031437444,0.5762218346449793,0.6132246886022927,0.5048574203987151
A1_0009,A1,1.6,2.1,1.7121428571428572,1.805952380952381,0.8497327751613466,0.752949892511117,0.8197074829931973,0.7363599773242631
A1_0010,A1,2.5833333333333335,3.75,2.612983312983313,2.3631480583686466,0.5740662793600526,0.4679298025198457,0.4602907481991413,0.3976744310943772
A2_0001,A2,3.466666666666667,5.333333333333333,2.78907408211756,2.492041903346251,0.5008388970932613,0.38683531423146955,0.411768053446671,0.3712774044662547
A2_0002,A2,3.1666666666666665,4.125,3.0271082900782647,2.8155637192305476,0.5354683029394293,0.43292210703876133,0.41068873695661146,0.32534468283702295
A2_0003,A2,4.0,5.1875,2.6904669313193836,2.398994745365394,0.44549088671929055,0.35853995741820804,0.3601310970910613,0.2887725075904576
A2_0004,A2,2.5555555555555554,3.611111111111111,2.424659830909831,2.1786215327881995,0.6018080673044686,0.4890687177538139,0.5118883914081497,0.4409897965046
A2_0005,A2,2.3684210526315788,2.6315789473684212,2.2111528822055138,2.0824979114452797,0.6332902574377937,0.5756247713260343,0.5326323414355996,0.4859071952367692
A2_0006,A2,3.0,4.064516129032258,2.6458765828792403,2.452460247465599,0.5468115461248537,0.4616678898546961,0.41990130941567455,0.3697679702679122
A2_0007,A2,2.0,2.6,2.088306878306878,1.9656084656084656,0.7487146238718659,0.6366985077936467,0.7038243995128916,0.5957918031410095
A2_0008,A2,2.2777777777777777,3.111111111111111,2.1631393298059964,2.009898589065256,0.6830730905215282,0.5867378194585343,0.6146448517678677,0.5517620849780241
A2_0009,A2,2.1875,2.9375,2.0458333333333334,1.7923363095238096,0.6540732477158259,0.5715575735957991,0.5732066680839002,0.5346822739512471
A2_0010,A2,3.3214285714285716,4.714285714285714,2.633130497562357,2.372252604801929,0.5088138184370425,0.3993288524744299,0.4203385555680577,0.3662744818379617
B1_0001,B1,3.85,5.15,2.4500470204030576,2.100406642720884,0.38862520150018554,0.31237110162544157,0.27271403460929206,0.23088105682375085
